5221
PXY LJK 0 198
LJK UNJ 1 110
UNJ MRW 2 193
MRW JMW 3 131
JMW NCS 4 153
NCS ZHO 5 40
ZHO JBL 6 134
JBL SIG 7 161
SIG YLT 8 136
YLT OET 9 133
OET JBG 10 194
JBG KIN 11 118
KIN EGY 12 47
EGY NBB 13 83
NBB LTN 14 150
LTN XQE 15 85
XQE RHR 16 28
RHR GRY 17 146
GRY IMW 18 138
IMW ZLH 19 50
ZLH BKF 20 43
BKF IIM 21 36
IIM CPN 22 18
CPN YPH 23 66
YPH NKI 24 167
NKI RTJ 25 107
RTJ QII 26 163
QII VCF 27 94
VCF LLW 28 21
LLW YCR 29 96
YCR LSE 30 104
LSE IDQ 31 71
IDQ PQM 32 199
PQM FLT 33 31
FLT DTU 34 101
DTU LUM 35 199
LUM SIH 36 66
SIH YRN 37 18
YRN ZPQ 38 156
ZPQ KPJ 39 183
KPJ PAL 40 68
PAL YFO 41 94
YFO LDQ 42 39
LDQ BMQ 43 22
BMQ MHA 44 175
MHA PPY 45 129
PPY DQV 46 47
DQV KTK 47 27
KTK IOZ 48 173
IOZ PXY 49 80
